pincode,area,neighborhood,latitude,longitude,occurrence_time,report_time,authority_arrival_time,hour,day_of_week,is_weekend,is_night,is_evening,is_rush_hour,reporting_delay_minutes,response_time_minutes,total_resolution_time_minutes,victim_age,signal_count_last_7d,signal_count_last_30d,signal_density_ratio,risk_level
600023,Vyasarpadi,North Chennai,13.109216,80.245714,2025-09-01T23:20:00,2025-09-02T00:03:00,2025-09-02T00:27:00,23,0,0,1,0,0,43,24,67,19,5,41,0.119,2
600011,Royapuram,North Chennai,13.107366,80.287396,2025-07-29T23:27:00,2025-07-29T23:47:00,2025-07-30T00:06:00,23,1,0,1,0,0,20,19,39,44,6,43,0.136,2
600003,Park Town,Central Chennai,13.07676,80.289273,2025-06-08T21:16:00,2025-06-08T21:56:00,2025-06-08T22:09:00,21,6,1,0,1,0,40,13,53,48,6,39,0.15,2
600011,Royapuram,North Chennai,13.104669,80.291535,2025-07-23T17:59:00,2025-07-23T18:32:00,2025-07-23T19:00:00,17,2,0,0,0,1,33,28,61,63,9,43,0.205,2
600011,Royapuram,North Chennai,13.104361,80.287168,2025-07-05T05:02:00,2025-07-05T05:07:00,2025-07-05T05:32:00,5,5,1,1,0,0,5,25,30,39,7,42,0.163,2
600096,OMR,IT Corridor,12.939011,80.23124,2025-11-17T12:56:00,2025-11-17T13:01:00,2025-11-17T13:11:00,12,0,0,0,0,0,5,10,15,24,3,18,0.158,0
600007,Perambur,North Chennai,13.111471,80.242012,2025-07-21T23:14:00,2025-07-21T23:50:00,2025-07-22T00:16:00,23,0,0,1,0,0,36,26,62,44,4,29,0.133,2
600113,Sholinganallur,IT Corridor,12.904228,80.229756,2025-10-25T01:52:00,2025-10-25T01:58:00,2025-10-25T02:09:00,1,5,1,1,0,0,6,11,17,84,3,19,0.15,1
600090,Velachery,South Chennai,12.973439,80.21609,2025-11-11T18:25:00,2025-11-11T18:28:00,2025-11-11T18:43:00,18,1,0,0,1,1,3,15,18,71,2,17,0.111,0
600042,Thiruvanmiyur,South Chennai,12.97988,80.264672,2025-07-30T16:01:00,2025-07-30T16:02:00,2025-07-30T16:07:00,16,2,0,0,0,0,1,5,6,60,3,16,0.176,0
600003,Park Town,Central Chennai,13.074526,80.28667,2025-09-07T05:17:00,2025-09-07T05:23:00,2025-09-07T05:44:00,5,6,1,1,0,0,6,21,27,28,7,40,0.171,2
600018,Kodambakkam,West Chennai,13.060052,80.224906,2025-06-21T14:32:00,2025-06-21T14:38:00,2025-06-21T14:50:00,14,5,1,0,0,0,6,12,18,78,1,38,0.026,1
600127,Perungudi,IT Corridor,12.960766,80.237553,2025-09-07T00:51:00,2025-09-07T00:56:00,2025-09-07T01:05:00,0,6,1,1,0,0,5,9,14,16,2,16,0.118,1
600021,Kodungaiyur,North Chennai,13.133845,80.265458,2025-09-12T12:28:00,2025-09-12T12:58:00,2025-09-12T13:26:00,12,4,0,0,0,0,30,28,58,52,5,43,0.114,2
600011,Royapuram,North Chennai,13.106893,80.286467,2025-07-28T01:05:00,2025-07-28T01:24:00,2025-07-28T01:44:00,1,0,0,1,0,0,19,20,39,36,5,39,0.125,2
600011,Royapuram,North Chennai,13.105697,80.288746,2025-09-25T22:08:00,2025-09-25T22:24:00,2025-09-25T22:45:00,22,3,0,1,1,0,16,21,37,16,8,31,0.25,2
